n v tiempo llamadas
1 4 0.000502 3
4 4 0.000851 14
7 4 0.001719 40
10 4 0.001442 40
13 4 0.003148 99
16 4 0.005104 205
19 4 0.004706 163
22 4 0.006981 239
25 4 0.008119 287
28 4 0.009299 339
31 4 0.015694 534
34 4 0.037682 490
37 4 0.012691 469
40 4 0.018484 743
43 4 0.018228 698
46 4 0.022238 789
49 4 0.025138 946
52 4 0.037178 1468
55 4 0.032593 1210
58 4 0.031389 1228
61 4 0.038372 1476
64 4 0.045011 1701
67 4 0.046921 1872
70 4 0.058808 1838
73 4 0.059657 2261
76 4 0.056771 2217
79 4 0.067079 2627
1 25 0.000414 3
4 25 0.000852 18
7 25 0.001881 63
10 25 0.002862 106
13 25 0.008729 352
16 25 0.013498 593
19 25 0.018603 847
22 25 0.01655 861
25 25 0.031213 1631
28 25 0.054171 2577
31 25 0.048454 2487
34 25 0.064179 3260
37 25 0.107289 5246
40 25 0.175876 8019
43 25 0.173902 7870
46 25 0.236427 10845
49 25 0.309614 14374
52 25 0.280382 13655
55 25 0.345754 15870
58 25 0.302201 15702
61 25 0.307033 15870
64 25 0.476492 23247
67 25 0.609011 29258
70 25 1.01645 43119
73 25 0.76539 36771
76 25 0.981725 45991
79 25 1.17224 51758
1 64 0.000432 3
4 64 0.000971 27
7 64 0.003285 109
10 64 0.003039 136
13 64 0.008918 365
16 64 0.009352 482
19 64 0.010145 566
22 64 0.025908 1218
25 64 0.060393 3033
28 64 0.096349 5082
31 64 0.080128 3699
34 64 0.138655 5974
37 64 0.135889 6317
40 64 0.190408 9728
43 64 0.196299 9193
46 64 0.282188 12471
49 64 0.299088 14525
52 64 0.325168 15327
55 64 0.324866 16101
58 64 0.480632 21814
61 64 0.530084 24808
64 64 0.566649 26312
67 64 0.604505 28650
70 64 0.809669 39352
73 64 0.962193 43598
76 64 0.931351 43862
79 64 1.16345 52550
1 121 0.00059 3
4 121 0.000991 31
7 121 0.00146 51
10 121 0.004865 225
13 121 0.011965 709
16 121 0.013787 590
19 121 0.025483 1122
22 121 0.052469 2944
25 121 0.038149 1841
28 121 0.062557 2925
31 121 0.06553 3216
34 121 0.141735 6183
37 121 0.073693 4031
40 121 0.202315 9149
43 121 0.160863 8224
46 121 0.240595 11813
49 121 0.327315 15369
52 121 0.434065 19221
55 121 0.445029 19603
58 121 0.533183 22980
61 121 0.512527 25470
64 121 0.555819 28313
67 121 0.667949 32265
70 121 0.700128 32732
73 121 0.8861 42154
76 121 1.02988 48318
79 121 1.3616 62842
1 196 0.000426 3
4 196 0.000934 28
7 196 0.003026 120
10 196 0.006982 332
13 196 0.003735 178
16 196 0.012463 658
19 196 0.025706 1078
22 196 0.035783 1734
25 196 0.041113 1882
28 196 0.05579 2657
31 196 0.091012 4380
34 196 0.10882 5085
37 196 0.389351 18411
40 196 0.131805 6392
43 196 0.199703 9411
46 196 0.302744 14026
49 196 0.325279 14807
52 196 0.296445 15402
55 196 0.329389 18206
58 196 0.572212 29422
61 196 0.616358 29302
64 196 0.778988 31341
67 196 0.968343 49907
70 196 0.793652 36794
73 196 0.948961 44472
76 196 0.951356 46317
79 196 1.36779 59942
1 289 0.000381 3
4 289 0.000836 20
7 289 0.002216 88
10 289 0.006509 323
13 289 0.011482 650
16 289 0.012237 697
19 289 0.012102 736
22 289 0.080896 3746
25 289 0.085786 4705
28 289 0.132384 6169
31 289 0.392097 19642
34 289 0.142893 7335
37 289 0.188861 8855
40 289 0.150687 7446
43 289 0.254019 13437
46 289 0.210938 10368
49 289 0.271045 12947
52 289 0.341309 15268
55 289 0.39604 18157
58 289 0.456761 23140
61 289 0.959193 53660
64 289 1.13532 61446
67 289 0.770572 35719
70 289 0.816355 38490
73 289 0.945314 43351
76 289 1.0352 51767
79 289 1.49158 63959
1 400 0.000487 3
4 400 0.001014 27
7 400 0.003033 124
10 400 0.005158 245
13 400 0.017587 926
16 400 0.01777 951
19 400 0.064435 3964
22 400 0.024191 1188
25 400 0.068771 3951
28 400 0.203582 11646
31 400 0.152016 8835
34 400 0.121946 5388
37 400 0.440134 24124
40 400 0.286349 14787
43 400 0.22054 9716
46 400 0.498467 25031
49 400 0.369351 19043
52 400 0.507693 23006
55 400 0.393809 19876
58 400 0.703558 35032
61 400 0.494926 24819
