n v tiempo llamadas
1 1 0.000354 3
2 1 0.000596 5
3 1 0.000572 7
4 1 0.000602 9
5 1 0.000565 11
6 1 0.000853 13
7 1 0.000878 15
8 1 0.000953 17
9 1 0.000685 19
10 1 0.00079 21
11 1 0.0008 23
12 1 0.000905 25
13 1 0.000835 27
14 1 0.000881 29
15 1 0.000875 31
16 1 0.000976 33
17 1 0.001018 35
18 1 0.001068 37
19 1 0.001056 39
20 1 0.001204 41
21 1 0.001144 43
22 1 0.001161 45
23 1 0.001265 47
24 1 0.001093 49
25 1 0.001199 51
26 1 0.001676 53
27 1 0.001286 55
28 1 0.001296 57
29 1 0.002555 59
1 16 0.000376 3
2 16 0.000534 7
3 16 0.00088 11
4 16 0.000949 21
5 16 0.001213 34
6 16 0.001271 35
7 16 0.001902 61
8 16 0.002636 84
9 16 0.002399 89
10 16 0.00504 189
11 16 0.004777 203
12 16 0.007204 274
13 16 0.007224 295
14 16 0.004092 204
15 16 0.011205 448
16 16 0.012279 475
17 16 0.016232 715
18 16 0.004551 246
19 16 0.015596 672
20 16 0.016114 796
21 16 0.021043 1048
22 16 0.010785 573
23 16 0.026698 1381
24 16 0.026645 1459
25 16 0.019612 972
26 16 0.039103 2138
27 16 0.046889 2314
28 16 0.0378 2126
29 16 0.030484 1631
1 49 0.000426 3
2 49 0.000536 6
3 49 0.000607 13
4 49 0.000956 21
5 49 0.001239 46
6 49 0.001817 56
7 49 0.001936 70
8 49 0.003817 141
9 49 0.003155 131
10 49 0.002966 126
11 49 0.009091 425
12 49 0.007744 332
13 49 0.00545 288
14 49 0.008632 356
15 49 0.015148 599
16 49 0.015296 761
17 49 0.014838 671
18 49 0.014968 679
19 49 0.016714 849
20 49 0.02348 1087
21 49 0.034086 1933
22 49 0.017688 941
23 49 0.034028 1668
24 49 0.020007 1151
25 49 0.033832 1727
26 49 0.024128 1315
27 49 0.038763 2058
28 49 0.054791 3048
29 49 0.05256 2805
1 100 0.00032 3
2 100 0.000517 6
3 100 0.000768 12
4 100 0.001022 28
5 100 0.001241 38
6 100 0.001914 60
7 100 0.001675 49
8 100 0.003826 162
9 100 0.0029 118
10 100 0.012678 681
11 100 0.005465 271
12 100 0.0072 358
13 100 0.006339 294
14 100 0.007085 327
15 100 0.01131 500
16 100 0.009212 497
17 100 0.017866 834
18 100 0.023745 1159
19 100 0.072483 4594
20 100 0.026346 1475
21 100 0.018866 1110
22 100 0.036802 1660
23 100 0.041961 2815
24 100 0.059376 3902
25 100 0.065487 3459
26 100 0.138395 8130
27 100 0.054277 2813
28 100 0.07117 3388
29 100 0.10874 6915
1 169 0.000416 3
2 169 0.000527 7
3 169 0.000689 13
4 169 0.000887 25
5 169 0.00143 40
6 169 0.001209 32
7 169 0.001411 45
8 169 0.002502 95
9 169 0.002106 89
10 169 0.008375 439
11 169 0.007357 390
12 169 0.004928 242
13 169 0.009134 390
14 169 0.010131 385
15 169 0.0095 402
16 169 0.025542 1392
17 169 0.013125 602
18 169 0.022064 1176
19 169 0.021932 1063
20 169 0.04288 2101
21 169 0.05019 3050
22 169 0.026925 1546
23 169 0.02224 1245
24 169 0.142482 9226
25 169 0.081557 4757
26 169 0.044098 2300
27 169 0.029495 1825
28 169 0.053647 2895
29 169 0.091585 5072
1 256 0.000387 3
2 256 0.00049 7
3 256 0.000685 13
4 256 0.000865 20
5 256 0.001181 37
6 256 0.00145 40
7 256 0.00315 144
8 256 0.002958 131
9 256 0.001927 79
10 256 0.007879 400
11 256 0.006025 279
12 256 0.010162 550
13 256 0.005807 307
14 256 0.009252 526
15 256 0.029899 1617
16 256 0.019315 967
17 256 0.016511 890
18 256 0.026137 1308
19 256 0.03061 1737
20 256 0.021795 1346
21 256 0.03841 2224
22 256 0.020422 1273
23 256 0.037708 1825
24 256 0.081367 5307
25 256 0.059229 3334
26 256 0.028586 1666
27 256 0.072707 4763
28 256 0.144751 9319
29 256 0.070217 3443
1 361 0.000414 3
2 361 0.000552 6
3 361 0.000658 10
4 361 0.000875 24
5 361 0.001079 25
6 361 0.001751 66
7 361 0.002654 106
8 361 0.002263 82
9 361 0.002987 121
10 361 0.003373 164
11 361 0.013518 719
12 361 0.003713 158
13 361 0.009234 459
14 361 0.010766 496
15 361 0.019435 1079
16 361 0.008317 478
17 361 0.023475 1402
18 361 0.021636 1341
19 361 0.040982 2409
20 361 0.027297 1733
21 361 0.022803 1362
22 361 0.025342 1591
23 361 0.0686 4022
24 361 0.062982 3702
25 361 0.047857 2673
26 361 0.074688 3975
27 361 0.046286 2323
28 361 0.233889 13791
29 361 0.187389 9152
1 484 0.00058 3
2 484 0.000657 7
3 484 0.000721 12
4 484 0.001358 21
5 484 0.001267 33
6 484 0.001277 32
7 484 0.002509 102
8 484 0.002196 84
9 484 0.005145 217
10 484 0.005125 238
11 484 0.008673 408
12 484 0.011894 622
13 484 0.006408 345
14 484 0.027768 1435
15 484 0.013558 828
16 484 0.03196 1732
17 484 0.043007 2531
18 484 0.027761 1559
19 484 0.018197 943
20 484 0.060865 3817
21 484 0.034306 1988
22 484 0.035656 1942
23 484 0.05367 2745
24 484 0.044617 2756
25 484 0.123414 6996
26 484 0.024794 1305
27 484 0.147289 8034
28 484 0.070227 3566
29 484 0.140426 8795
1 625 0.00034 3
2 625 0.000509 7
3 625 0.000742 13
4 625 0.000934 27
5 625 0.00162 58
6 625 0.001425 44
7 625 0.00241 94
8 625 0.002465 97
9 625 0.004934 222
10 625 0.002396 105
11 625 0.008728 445
12 625 0.005932 287
13 625 0.005541 295
14 625 0.035234 2253
15 625 0.019086 1066
16 625 0.016064 811
17 625 0.036994 2340
18 625 0.035081 1852
19 625 0.025235 1624
20 625 0.011833 755
21 625 0.042086 3045
22 625 0.049669 2150
23 625 0.095822 6195
24 625 0.250312 16465
25 625 0.044837 2847
26 625 0.054936 2876
27 625 0.082729 5131
28 625 0.105834 7025
29 625 0.129575 7413
1 784 0.00036 3
2 784 0.000442 6
3 784 0.000737 10
4 784 0.000912 20
5 784 0.001155 31
6 784 0.00149 47
7 784 0.001451 53
8 784 0.003382 149
9 784 0.00256 111
10 784 0.006875 349
11 784 0.009342 496
12 784 0.004105 187
13 784 0.015444 934
14 784 0.00981 552
15 784 0.007837 409
16 784 0.035503 1965
17 784 0.07043 4198
18 784 0.021322 1070
19 784 0.051466 3136
20 784 0.038993 2392
21 784 0.029813 2019
22 784 0.083889 5199
23 784 0.141558 7061
24 784 0.01701 1114
25 784 0.083871 6069
26 784 0.155619 5925
27 784 0.040258 2279
28 784 0.203414 10711
29 784 0.310329 20297
1 961 0.000481 3
2 961 0.000406 6
3 961 0.000593 13
4 961 0.000956 23
5 961 0.000915 21
6 961 0.001482 46
7 961 0.003407 172
8 961 0.002872 124
9 961 0.003408 132
10 961 0.005985 277
11 961 0.005927 305
12 961 0.009504 360
13 961 0.014344 910
14 961 0.011506 625
15 961 0.017195 955
16 961 0.023019 1457
17 961 0.088965 5321
18 961 0.023107 1455
19 961 0.044967 2843
20 961 0.020966 1107
21 961 0.183741 12035
22 961 0.035409 2518
23 961 0.064545 3876
24 961 0.02149 1400
25 961 0.105558 6823
26 961 0.064869 4298
27 961 0.146362 10808
28 961 0.248267 17124
29 961 0.048571 1966
1 1156 0.000404 3
2 1156 0.000457 7
3 1156 0.000603 12
4 1156 0.000953 23
5 1156 0.001156 33
6 1156 0.001093 31
7 1156 0.001927 87
8 1156 0.00275 110
9 1156 0.003453 152
10 1156 0.004007 201
11 1156 0.005469 259
12 1156 0.00271 123
13 1156 0.004451 231
14 1156 0.021623 1214
15 1156 0.02002 1116
16 1156 0.011196 706
17 1156 0.016757 969
18 1156 0.015086 794
19 1156 0.065827 3739
20 1156 0.017027 867
21 1156 0.287657 17912
22 1156 0.056623 3604
23 1156 0.039799 2596
24 1156 0.069272 4459
25 1156 0.045832 3051
26 1156 0.069899 2609
27 1156 0.159398 10852
28 1156 0.128944 6874
29 1156 0.207816 12703
1 1369 0.000382 3
2 1369 0.00062 6
