n v tiempo llamadas
1 4 0.005802 3
4 4 0.003177 19
7 4 0.004614 35
10 4 0.006176 63
13 4 0.008044 93
16 4 0.010429 103
19 4 0.016469 143
22 4 0.014111 165
25 4 0.015517 191
28 4 0.015967 203
31 4 0.018498 237
34 4 0.018741 257
37 4 0.019689 259
40 4 0.02136 303
43 4 0.023607 321
46 4 0.025368 353
49 4 0.027151 381
52 4 0.028395 405
55 4 0.030334 425
58 4 0.031086 441
61 4 0.032661 479
64 4 0.035043 495
67 4 0.034038 517
70 4 0.035222 549
73 4 0.036541 569
76 4 0.039734 585
79 4 0.041478 617
1 25 0.005409 3
4 25 0.004848 23
7 25 0.008199 109
10 25 0.013203 245
13 25 0.018375 395
16 25 0.023997 571
19 25 0.028797 691
22 25 0.034719 871
25 25 0.039436 1017
28 25 0.047218 1215
31 25 0.050781 1301
34 25 0.055648 1479
37 25 0.062431 1657
40 25 0.068388 1827
43 25 0.075092 1971
46 25 0.080139 2165
49 25 0.084394 2273
52 25 0.087448 2375
55 25 0.095214 2585
58 25 0.098094 2691
61 25 0.104419 2869
64 25 0.109387 2983
67 25 0.119263 3225
70 25 0.123699 3355
73 25 0.12905 3479
76 25 0.131735 3611
79 25 0.137963 3817
1 64 0.003609 3
4 64 0.005049 31
7 64 0.00966 173
10 64 0.016927 395
13 64 0.032144 849
16 64 0.047011 1265
19 64 0.057797 1607
22 64 0.067947 1941
25 64 0.08181 2425
28 64 0.089057 2619
31 64 0.107349 3169
34 64 0.124032 3671
37 64 0.129291 3887
40 64 0.141201 4245
43 64 0.160298 4773
46 64 0.172588 5145
49 64 0.181927 5449
52 64 0.196164 5887
55 64 0.221672 6235
58 64 0.22134 6725
61 64 0.231334 6975
64 64 0.248822 7463
67 64 0.258131 7891
70 64 0.26897 8167
73 64 0.292573 8581
76 64 0.293315 9025
79 64 0.303455 9303
1 121 0.005154 3
4 121 0.005184 31
7 121 0.009164 143
10 121 0.023568 597
13 121 0.044827 1229
16 121 0.068504 2019
19 121 0.108358 2917
22 121 0.112416 3407
25 121 0.134421 4147
28 121 0.166485 5069
31 121 0.185481 5685
34 121 0.209746 6603
37 121 0.226013 7069
40 121 0.253613 7981
43 121 0.273842 8591
46 121 0.296986 9349
49 121 0.321837 10131
52 121 0.345973 10985
55 121 0.370487 11675
58 121 0.391218 12307
61 121 0.410383 12905
64 121 0.43227 13785
67 121 0.457795 14567
70 121 0.48166 15197
73 121 0.504203 15953
76 121 0.51692 16607
79 121 0.558395 17569
1 196 0.004943 3
4 196 0.005201 29
7 196 0.010974 209
10 196 0.033346 941
13 196 0.066307 1961
16 196 0.097737 2985
19 196 0.146837 4563
22 196 0.159563 4985
25 196 0.209514 6589
28 196 0.242245 7831
31 196 0.280248 8895
34 196 0.316503 10119
37 196 0.354284 11389
40 196 0.390712 12419
43 196 0.431586 13931
46 196 0.480923 15067
49 196 0.498257 16099
52 196 0.53234 17071
55 196 0.570801 18375
58 196 0.606366 19683
61 196 0.741816 20613
64 196 0.673295 21823
67 196 0.701939 22635
70 196 0.735352 23719
73 196 0.785194 25505
76 196 0.837197 26623
79 196 0.862844 27915
1 289 0.005461 3
4 289 0.006886 29
7 289 0.012679 219
10 289 0.032509 901
13 289 0.077364 2387
16 289 0.133994 4135
19 289 0.190919 6055
22 289 0.248908 7953
25 289 0.292588 9295
28 289 0.352435 11321
31 289 0.412153 13399
34 289 0.450459 14665
37 289 0.511914 16711
40 289 0.566585 18569
43 289 0.597805 19621
46 289 0.657969 21481
49 289 0.715989 23341
52 289 0.75766 24597
55 289 0.828539 26887
58 289 0.868042 28565
61 289 0.893586 29531
64 289 0.984374 31995
67 289 1.02263 33495
70 289 1.06984 35337
73 289 1.15515 36959
76 289 1.18093 38683
79 289 1.24851 40835
1 400 0.00566 3
4 400 0.011714 31
7 400 0.013358 235
10 400 0.044376 1285
13 400 0.103768 3333
16 400 0.171918 5383
19 400 0.246974 7867
22 400 0.330885 10627
25 400 0.399913 12539
28 400 0.478048 15579
31 400 0.832397 17701
34 400 0.626098 20429
37 400 0.672553 22123
40 400 0.769402 25301
43 400 0.845389 27661
46 400 0.906725 29149
49 400 0.955758 31301
52 400 1.04303 34385
55 400 1.12257 37027
58 400 1.19079 38823
61 400 1.24921 41057
64 400 1.33701 43495
67 400 1.38962 45919
70 400 1.4838 48647
73 400 1.56992 50343
76 400 1.61273 52813
79 400 1.68049 55405
1 529 0.007697 3
4 529 0.008378 31
7 529 0.015723 243
10 529 0.045058 1367
13 529 0.119096 3833
16 529 0.194531 6235
19 529 0.345131 10145
22 529 0.411177 13011
25 529 0.517042 16701
28 529 0.589427 19193
31 529 0.733309 23353
34 529 0.77508 25471
37 529 0.871253 28779
40 529 0.980531 31985
43 529 1.05857 34745
46 529 1.17574 38729
49 529 1.28737 41955
52 529 1.36744 45459
55 529 1.4701 47965
58 529 1.55436 51217
61 529 1.67885 54871
64 529 1.75338 57323
67 529 1.87843 61517
70 529 1.92576 63805
73 529 2.02901 66683
76 529 2.14508 70625
79 529 2.25069 73795
1 676 0.009179 3
4 676 0.011025 31
7 676 0.018804 221
10 676 0.04466 1081
13 676 0.101374 2991
16 676 0.267763 8867
19 676 0.396981 12919
22 676 0.499007 16281
25 676 0.620266 19689
28 676 0.766471 25441
31 676 0.852731 27897
34 676 0.981269 31959
37 676 1.09268 35415
40 676 1.23659 40741
43 676 1.40899 45139
46 676 1.50383 48931
49 676 1.67683 53655
52 676 1.80089 56495
55 676 1.87474 60517
58 676 1.98808 64919
61 676 2.09005 68809
64 676 2.23422 72551
