n v tiempo llamadas
1 1 0.008163 3
2 1 0.002174 5
3 1 0.002338 7
4 1 0.003074 9
5 1 0.002889 11
6 1 0.003563 13
7 1 0.003749 15
8 1 0.004257 17
9 1 0.004942 19
10 1 0.004986 21
11 1 0.005124 23
12 1 0.005271 25
13 1 0.00568 27
14 1 0.00583 29
15 1 0.0075 31
16 1 0.007591 33
17 1 0.008013 35
18 1 0.008139 37
19 1 0.00816 39
20 1 0.008438 41
21 1 0.008802 43
22 1 0.008827 45
23 1 0.009402 47
24 1 0.009493 49
25 1 0.009629 51
26 1 0.010968 53
27 1 0.011299 55
28 1 0.010097 57
29 1 0.010642 59
1 16 0.00483 3
2 16 0.002078 7
3 16 0.002569 13
4 16 0.003154 23
5 16 0.003926 45
6 16 0.004909 55
7 16 0.00646 93
8 16 0.008619 111
9 16 0.009631 133
10 16 0.011828 203
11 16 0.01235 213
12 16 0.013446 239
13 16 0.015965 313
14 16 0.015835 285
15 16 0.017907 347
16 16 0.018165 333
17 16 0.019581 397
18 16 0.020546 463
19 16 0.022037 489
20 16 0.022927 531
21 16 0.023343 537
22 16 0.024485 579
23 16 0.025044 631
24 16 0.026529 631
25 16 0.027587 667
26 16 0.036767 719
27 16 0.031053 779
28 16 0.030479 745
29 16 0.032437 807
1 49 0.003359 3
2 49 0.002577 7
3 49 0.002945 15
4 49 0.00524 27
5 49 0.005876 49
6 49 0.007434 89
7 49 0.009486 155
8 49 0.011864 237
9 49 0.013146 249
10 49 0.01626 323
11 49 0.021208 503
12 49 0.02411 589
13 49 0.027906 685
14 49 0.024177 607
15 49 0.034003 897
16 49 0.036722 991
17 49 0.041811 1113
18 49 0.04132 1183
19 49 0.045448 1277
20 49 0.047305 1401
21 49 0.050825 1471
22 49 0.052317 1551
23 49 0.056327 1675
24 49 0.054784 1551
25 49 0.062055 1879
26 49 0.064454 1913
27 49 0.070511 2083
28 49 0.069964 2189
29 49 0.072769 2235
1 100 0.005192 3
2 100 0.00364 7
3 100 0.00447 15
4 100 0.00521 31
5 100 0.006156 57
6 100 0.007784 103
7 100 0.009409 155
8 100 0.014566 351
9 100 0.016779 409
10 100 0.026356 735
11 100 0.031492 857
12 100 0.034641 963
13 100 0.037655 1035
14 100 0.049571 1347
15 100 0.055545 1613
16 100 0.05851 1667
17 100 0.067003 1959
18 100 0.067788 2089
19 100 0.104517 2531
20 100 0.083612 2643
21 100 0.102894 2911
22 100 0.094605 3007
23 100 0.102201 3295
24 100 0.105533 3459
25 100 0.107434 3465
26 100 0.175787 3899
27 100 0.122282 4061
28 100 0.129416 4167
29 100 0.138371 4431
1 169 0.004925 3
2 169 0.003985 7
3 169 0.00491 15
4 169 0.005159 31
5 169 0.006209 57
6 169 0.009088 101
7 169 0.011204 173
8 169 0.015916 355
9 169 0.018854 437
10 169 0.032395 1021
11 169 0.033504 963
12 169 0.047761 1379
13 169 0.054886 1603
14 169 0.071672 2177
15 169 0.081376 2503
16 169 0.08349 2517
17 169 0.099413 2999
18 169 0.094993 2809
19 169 0.129651 4031
20 169 0.121351 3931
21 169 0.131541 4279
22 169 0.145546 4871
23 169 0.14228 4811
24 169 0.169347 5661
25 169 0.174652 5739
26 169 0.184387 6199
27 169 0.18331 6389
28 169 0.194332 6849
29 169 0.247543 7071
1 256 0.006844 3
2 256 0.00412 7
3 256 0.006921 15
4 256 0.007081 29
5 256 0.007706 59
6 256 0.008887 111
7 256 0.011975 235
8 256 0.016796 369
9 256 0.021115 469
10 256 0.038048 1223
11 256 0.042508 1265
12 256 0.055598 1651
13 256 0.080517 2471
14 256 0.093965 2849
15 256 0.113385 3547
16 256 0.120892 3821
17 256 0.150872 4781
18 256 0.161138 5053
19 256 0.162946 5529
20 256 0.176089 5915
21 256 0.174067 5871
22 256 0.207903 7109
23 256 0.239201 7681
24 256 0.23488 8017
25 256 0.243746 8373
26 256 0.26077 8983
27 256 0.270262 9269
28 256 0.303637 10511
29 256 0.300556 10747
1 361 0.005387 3
2 361 0.004473 7
3 361 0.006945 15
4 361 0.00701 31
5 361 0.008739 57
6 361 0.010507 121
7 361 0.013617 229
8 361 0.020007 373
9 361 0.027644 713
10 361 0.03774 1019
11 361 0.060544 1901
12 361 0.06544 1915
13 361 0.093223 2979
14 361 0.109535 3433
15 361 0.152531 4863
16 361 0.161109 4765
17 361 0.182605 5797
18 361 0.199794 6361
19 361 0.208076 7037
20 361 0.231289 7891
21 361 0.238417 8103
22 361 0.25851 9039
23 361 0.292798 9945
24 361 0.352692 10877
25 361 0.323632 11099
26 361 0.500917 12081
27 361 0.365973 12905
28 361 0.426723 13585
29 361 0.40891 14363
1 484 0.006031 3
2 484 0.006205 7
3 484 0.007507 15
4 484 0.008372 31
5 484 0.009764 61
6 484 0.013666 109
7 484 0.016074 225
8 484 0.01936 299
9 484 0.030077 801
10 484 0.043008 1207
11 484 0.063146 1967
12 484 0.091329 2899
13 484 0.11074 3503
14 484 0.15738 5143
15 484 0.18226 5833
16 484 0.20515 6543
17 484 0.229927 7465
18 484 0.260766 8347
19 484 0.277907 9239
20 484 0.311824 10755
21 484 0.330227 11451
22 484 0.339854 11833
23 484 0.38058 13257
24 484 0.384762 13745
25 484 0.436801 15225
26 484 0.462724 15407
27 484 0.480495 17283
28 484 0.511147 18103
29 484 0.55266 19087
1 625 0.008748 3
2 625 0.006289 7
3 625 0.008046 15
4 625 0.008478 31
5 625 0.01206 63
6 625 0.014454 117
7 625 0.01709 219
8 625 0.022994 413
9 625 0.033349 881
10 625 0.041405 1009
11 625 0.06217 1895
12 625 0.092161 2949
13 625 0.117887 3593
14 625 0.173864 5717
15 625 0.223808 7297
16 625 0.245911 8077
17 625 0.263494 8783
18 625 0.316397 10729
19 625 0.342944 11501
20 625 0.352015 12245
21 625 0.413772 13357
22 625 0.448951 16215
23 625 0.468038 16387
24 625 0.50705 18089
25 625 0.541473 18949
26 625 0.592176 20121
27 625 0.603413 20855
28 625 0.663825 23249
29 625 0.683122 23319
1 784 0.008895 3
2 784 0.007614 7
3 784 0.008259 15
4 784 0.011143 31
5 784 0.016885 59
6 784 0.016085 121
7 784 0.018869 201
8 784 0.025112 417
9 784 0.033141 695
10 784 0.049616 1323
11 784 0.062205 1803
12 784 0.09176 2715
13 784 0.149108 5045
14 784 0.179247 5731
15 784 0.230894 7199
16 784 0.288866 9497
17 784 0.3682 11353
18 784 0.348262 11853
19 784 0.391069 13289
20 784 0.465908 16319
21 784 0.48052 16659
22 784 0.537225 18987
23 784 0.564396 20585
24 784 0.589309 21251
25 784 0.638879 23169
26 784 0.921505 24997
27 784 0.744332 26413
28 784 0.82028 28313
29 784 0.832922 29409
1 961 0.009274 3
2 961 0.007789 7
3 961 0.01088 15
4 961 0.013186 29
5 961 0.015308 57
6 961 0.017914 117
7 961 0.021398 249
8 961 0.027729 451
9 961 0.036713 773
10 961 0.044427 1041
11 961 0.072337 2029
12 961 0.107881 3805
13 961 0.179832 5789
14 961 0.214895 6963
15 961 0.228326 7527
16 961 0.324891 10417
17 961 0.412811 13765
18 961 0.456315 14927
19 961 0.495727 16781
20 961 0.492097 17195
21 961 0.609587 21481
22 961 0.617378 21503
23 961 0.702792 24369
24 961 0.696741 25019
25 961 0.858744 29551
26 961 0.866324 29993
27 961 0.882493 31893
28 961 0.939646 33179
29 961 0.980047 34359
1 1156 0.00951 3
2 1156 0.013166 7
3 1156 0.012961 15
4 1156 0.014833 31
5 1156 0.016894 59
6 1156 0.019659 109
7 1156 0.023486 241
8 1156 0.029727 371
9 1156 0.039469 781
10 1156 0.053909 1373
11 1156 0.087232 2307
12 1156 0.099214 2715
13 1156 0.125609 3629
14 1156 0.236636 7891
15 1156 0.307508 9993
16 1156 0.31055 9699
17 1156 0.452456 13845
18 1156 0.478412 15651
19 1156 0.538399 17977
20 1156 0.614236 20599
21 1156 0.749118 26197
22 1156 0.72918 24801
23 1156 0.82528 28589
24 1156 0.908108 31175
25 1156 0.97118 33001
26 1156 1.44703 36527
27 1156 1.08171 37331
28 1156 1.19555 40201
29 1156 1.25195 43559
1 1369 0.011181 3
2 1369 0.010935 7
3 1369 0.014519 15
4 1369 0.016256 31
5 1369 0.018627 63
6 1369 0.022909 117
7 1369 0.026591 219
8 1369 0.033225 441
9 1369 0.044434 915
10 1369 0.057672 1249
11 1369 0.09424 2763
12 1369 0.142849 4753
13 1369 0.182952 5747
14 1369 0.240816 7529
15 1369 0.306536 9769
16 1369 0.3725 11781
17 1369 0.486413 15865
18 1369 0.544053 17649
19 1369 0.637396 21617
20 1369 0.734817 25083
21 1369 0.805314 28107
22 1369 0.866777 29931
23 1369 0.957077 33343
24 1369 1.01643 34955
25 1369 1.15721 38733
26 1369 1.14938 38933
27 1369 1.35791 45731
28 1369 1.32265 45011
29 1369 1.48122 50177
1 1600 0.012181 3
2 1600 0.012923 7
3 1600 0.016456 15
4 1600 0.021259 29
5 1600 0.021677 63
6 1600 0.024367 115
7 1600 0.034873 239
8 1600 0.03588 411
9 1600 0.046437 731
10 1600 0.063539 1283
11 1600 0.091475 2537
12 1600 0.130503 3885
13 1600 0.186413 5723
14 1600 0.292199 9475
15 1600 0.32623 10619
16 1600 0.479463 15931
17 1600 0.604779 19329
18 1600 0.685372 22681
