n v tiempo llamadas
1 1 0.000276 3
2 1 0.00048 7
3 1 0.000689 15
4 1 0.000828 31
5 1 0.001172 63
6 1 0.001986 127
7 1 0.003244 255
8 1 0.00576 511
9 1 0.015686 1023
10 1 0.020079 2047
11 1 0.042222 4095
12 1 0.077376 8191
13 1 0.155773 16383
14 1 0.306451 32767
15 1 0.650748 65535
16 1 1.22455 131071
17 1 2.42337 262143
18 1 4.84732 524287
19 1 9.37723 1048575
20 1 18.3537 2097151
21 1 36.1639 4194303
22 1 72.7168 8388607
23 1 146.619 16777215
24 1 288.111 33554431
25 1 600.097 67108863
26 1 1143.89 134217727
27 1 2322.53 268435455
28 1 4616.6 536870911
29 1 9156.32 1073741823
1 16 0.000224 3
2 16 0.000303 7
3 16 0.000468 15
4 16 0.000699 31
5 16 0.001004 63
6 16 0.001931 127
7 16 0.003567 255
8 16 0.008832 511
9 16 0.0107 1023
10 16 0.02049 2047
11 16 0.039812 4095
12 16 0.078099 8191
13 16 0.153997 16383
14 16 0.308223 32767
15 16 0.624954 65535
16 16 1.23323 131071
17 16 2.41997 262143
18 16 4.86791 524287
19 16 9.89473 1048575
20 16 18.3502 2097151
21 16 36.1732 4194303
22 16 73.2033 8388607
23 16 144.203 16777215
24 16 286.028 33554431
25 16 580.938 67108863
26 16 1154.16 134217727
27 16 2345.28 268435455
28 16 4641.8 536870911
29 16 9180.77 1073741823
1 49 0.000332 3
2 49 0.000376 7
3 49 0.000805 15
4 49 0.000727 31
5 49 0.001145 63
6 49 0.001824 127
7 49 0.003186 255
8 49 0.005561 511
9 49 0.015299 1023
10 49 0.020321 2047
11 49 0.039182 4095
12 49 0.077547 8191
13 49 0.153683 16383
14 49 0.306024 32767
15 49 0.613864 65535
16 49 1.23466 131071
17 49 2.47388 262143
18 49 4.82256 524287
19 49 9.4125 1048575
20 49 18.2578 2097151
21 49 36.2838 4194303
22 49 72.4524 8388607
23 49 143.745 16777215
24 49 285.774 33554431
25 49 583.793 67108863
26 49 1145.8 134217727
27 49 2330.09 268435455
28 49 4610 536870911
29 49 9165.19 1073741823
1 100 0.000291 3
2 100 0.000483 7
3 100 0.000493 15
4 100 0.00078 31
5 100 0.001098 63
6 100 0.001792 127
7 100 0.003046 255
8 100 0.008843 511
9 100 0.010461 1023
10 100 0.020165 2047
11 100 0.039637 4095
12 100 0.078031 8191
13 100 0.154515 16383
14 100 0.306876 32767
15 100 0.611794 65535
16 100 1.2839 131071
17 100 2.44215 262143
18 100 4.78757 524287
