n v tiempo llamadas
2 1 0.000582 7
3 2 0.000635 15
4 3 0.00089 31
5 4 0.001861 63
6 5 0.002077 127
7 6 0.003373 255
8 7 0.005716 511
9 8 0.010835 1023
10 9 0.020615 2047
11 10 0.039185 4095
12 11 0.07797 8191
13 12 0.15357 16383
14 13 0.306503 32767
15 14 0.61147 65535
16 15 1.23258 131071
17 16 2.43584 262143
18 17 4.75372 524287
19 18 9.32709 1048575
20 19 18.3724 2097151
21 20 36.1551 4194303
22 21 77.3021 8388607
23 22 143.286 16777215
24 23 306.025 33554431
25 24 615.24 67108863
26 25 1164.35 134217727
27 26 2283.48 268435455
28 27 4621.11 536870911
29 28 9184.25 1073741823
