2 1 0.00049 7
3 2 0.00062 15
4 3 0.000837 31
5 4 0.001179 63
6 5 0.001755 127
7 6 0.003345 255
8 7 0.005647 511
9 8 0.010187 1023
10 9 0.019319 2047
11 10 0.036925 4095
12 11 0.072912 8191
13 12 0.143709 16383
14 13 0.286524 32767
15 14 0.570057 65535
16 15 1.14155 131071
17 16 2.28933 262143
18 17 4.61387 524287
19 18 9.22844 1048575
20 19 17.982 2097151
21 20 36.1021 4194303
22 21 71.5827 8388607
23 22 142.349 16777215
24 23 284.666 33554431
25 24 568.225 67108863
26 25 1139.04 134217727
27 26 2314.65 268435455
28 27 4553.85 536870911
29 28 9119.1 1073741823
